date,time,symbol,side,entry,sl,tp,leverage_signal,day_of_week,filters_4,multifactor,ml_score,chainlink_delta,regime,pillars_4_count,saturday,verdict,decision,size_pct,executed,exit_price,exit_reason,pnl_usd,duration_h,hypothetical_outcome,learning,tier
2026-05-04,22:19,ETHUSDT.P,SHORT,2378.97,2390.23,2362,10,Mon,,,,,TRENDING,,Y,APPROVE_HALF,"HALF size ($50 margin, $2.35 risk = 1.18% capital) — origen: /punk-hunt self-generated, Asia early hour, R:R borderline 1.51 a TP1 / 2.57 a TP2",,,2376.99,manual,3.19,1.1,,,standard
2026-05-06,16:28,ICPUSDT.P,SHORT,3.017,NONE_CROSS,2.845,20,Tue,,,,,EXHAUSTION_FADE,,N,VISUAL_COPY,EXECUTED_VISUAL,~22,yes,2.956,manual_full_close,18.32,4.0,,Cerrado +18.32 (+37.95% margin) en 4h. Antes del TP1 oficial 2.845 tras Smart Money L/S 2.28 (longs cargando = reversal probable). Decisión correcta - lock profit en día verde,visual
2026-05-06,16:38,ZEREBROUSDT.P,SHORT,0.043142,NONE_CROSS,PENDING,20,Tue,,,,,EXHAUSTION_FADE,,N,VISUAL_COPY,EXECUTED_VISUAL,~12,yes,0.040524,manual_TP_close_to_TP1,28.96,2.5,,Cerrado cerca del TP1 sugerido 0.0395 (real exit 0.0405). Capturó 6.07% del move en 2.5h. PYG +119.67% sobre margin. Vela 19:00 -8% intravela confirmó thesis del fade del rally +126%,visual
2026-05-06,13:12,INITUSDT.P,SHORT,0.10150,NONE_CROSS,PENDING,20,Tue,,,,,UNKNOWN,,N,VISUAL_COPY,EXECUTED_VISUAL,~10,yes,0.09956,manual_TP,17.39,3.9,,Cerrado +17.39 (+35.98% margin) en 3h56min. Movement -1.91% del entry. Trade más largo del día,visual
2026-05-06,15:42,NEARUSDT.P,SHORT,1.543,NONE_CROSS,PENDING,20,Tue,,,,,UNKNOWN,,N,VISUAL_COPY,EXECUTED_VISUAL,~10,yes,1.497,manual_TP,27.65,0.6,,Cerrado +27.65 (+57.25% margin) en solo 38min. Movement -2.98% del entry. Trade más rápido del día - mejor ratio profit/tiempo,visual
2026-05-06,20:38,ETHUSDT.P,LONG,2340.00,NONE_CROSS,PENDING,20,Tue,,,,,COUNTER_TREND_LONG,,N,VISUAL_COPY,EXECUTED_VISUAL,~19,yes,,,,,,Trade contrarian al patrón AltSquish del día. Entry en zona de lower-highs ETH 1H. Capital cushion: día ya +$92 realizado,visual
2026-05-07,11:06,BZUSDT.P,LONG,97.33,95.50,98.12,20,Wed,2,-65,,,TRENDING,1,N,REJECT,"REJECT — ADX 49 1H + ADX 43 4H con -DI dominante (trend down extremo). MR filtros 2/4 (entry +1.54% sobre Donchian Low, NO toca BB inferior). R:R TP1=0.43 / TP2=1.32 (<1.5 mínimo). Bounce con 0.13× volumen. Concurrent ETH LONG abierto. Sin SL/TP en señal original. Altcoin baja liquidez ($55M vol24h). Recomendación: pasar; esperar base real (close 1H sobre EMA9 + volumen + BOS bullish). Si visual override: HALF max $25 margin, TP1 98.12 únicamente, BE en +0.5%, no promediar.",,,,,,,,,standard
2026-05-07,21:56,DYDXUSDT.P,SHORT,0.2016,,0.1957,20,Wed,0/4,,,,TREND_EXTREMO,,N,NO_GO_BY_SYSTEM,OVERRIDE_VISUAL,15,Y,0.1957,TP_manual_5min,+27.82,0.083,WIN,fade_pump_RSI82_vol_decay,standard
2026-05-07,22:17,DYDXUSDT.P,SHORT,0.2018,,0.1888,20,Wed,0/4,,,,TREND_EXTREMO,,N,NO_GO_BY_SYSTEM,OVERRIDE_VISUAL,15,Y,0.1888,TP_runner_1h03,+62.17,1.05,WIN,reentry_after_scalp_continued_fade,standard
2026-05-09,11:59,TONUSDT.P,SHORT,2.3997,2.4400,2.3550,20,sáb.,,,,,TRENDING_DOWN,,N,SELF_GENERATED_PUNK_HUNT,EXECUTED_VISUAL,~25,yes,2.3933,manual_TP_overnight_19h,1.66,19.0,WIN,CORRECCIÓN 2026-05-10: cerró +$1.66 NET (no BE). Hold overnight 19h tras drawdown -$12. Magnet liq $2.36 nunca llegó pero precio retraced lo suficiente para small profit. Vindicó decisión de holdar over my cut recommendation.,standard
2026-05-10,11:08,SUIUSDT.P,SHORT,1.2873,1.348,1.228,20,dom.,,,1.18,,PUMP_FADE_24H,,Y,SELF_GENERATED_PUNK_HUNT,EXECUTED_VISUAL_OVERRIDE,~25,yes,1.2798,manual_TP_7min_scalp,4.47,0.12,WIN,"WIN +$4.47 (+9.25% margin) en 7 minutos. Premortem advirtió SL ancho riesgo capital, user override y ejecutó scalp veloz al magnet liq target. Lección sistema: en setups con extreme retail euphoria + smart money tibio, el fade-the-pump funciona FAST si user actúa decisive. Pattern: 2do override visual exitoso vs system defense (DYDX 5min scalp 2026-05-07 fue similar).",standard
2026-05-10,11:16,VIRTUALUSDT.P,SHORT,0.9131,,,20,dom.,,,3.65,,CHOP_NO_THESIS,,N,EXECUTED_VISUAL,EXECUTED_VISUAL_OVERRIDE,~12,yes,,,,,,Entry self-generated by user. NOT a pump-fade — VIRTUAL 24h chg solo -1.24% (chop lateral). Smart Money L/S 3.65 = MASSIVE long bias contra tu SHORT (F1 fail × 2.6x threshold). Vol 24h .4M (thin altcoin). Sin SL/TP setteados. PnL inicial -.54 (-10.5% margin). Setup RECHAZADO por todos los vetos del sistema — sin edge identificado. Capital pre-trade  (caída  desde inicio sesión  — ¿SUI cerró loss?).,standard
